Household_ID,Region,Country,Energy_Source,Monthly_Usage_kWh,Year,Household_Size,Income_Level,Urban_Rural,Adoption_Year,Subsidy_Received,Cost_Savings_USD
H01502,North America,USA,Hydro,1043.49,2024,5,Low,Urban,2012,No,10.46
H02587,Australia,Australia,Geothermal,610.01,2024,4,High,Rural,2023,No,43.49
H02654,North America,USA,Biomass,1196.75,2024,8,Low,Rural,2017,Yes,93.28
H01056,South America,Colombia,Biomass,629.67,2024,7,High,Urban,2023,No,472.85
H00706,Africa,Egypt,Hydro,274.46,2022,7,Middle,Rural,2010,No,65.98
H00107,South America,Brazil,Biomass,375.99,2022,2,High,Urban,2011,No,20.93
H00590,Africa,Ghana,Geothermal,547.5,2020,8,High,Rural,2012,Yes,21.99
H02469,Australia,New Zealand,Geothermal,759.23,2024,4,Low,Urban,2020,Yes,127.02
H02414,South America,Peru,Biomass,571.7,2021,6,Low,Rural,2021,Yes,199.2
H01601,South America,Argentina,Geothermal,851.77,2023,8,High,Urban,2019,Yes,108.09
H02465,Europe,Germany,Wind,385.35,2024,8,Middle,Urban,2018,No,190.91
H00229,Europe,France,Hydro,1315.9,2023,7,Middle,Rural,2015,Yes,309.88
H00916,Asia,South Korea,Wind,60.12,2020,5,Middle,Rural,2019,Yes,445.11
H00795,South America,Chile,Geothermal,1001.42,2021,8,Middle,Urban,2021,Yes,483.41
H03022,Africa,Ghana,Biomass,1349.51,2020,2,Low,Rural,2012,Yes,340.29
H03544,Africa,South Africa,Geothermal,764.42,2022,7,High,Rural,2022,No,391.14
H01074,Asia,India,Wind,745.47,2024,5,Low,Urban,2010,Yes,378.25
H03352,Asia,Indonesia,Hydro,598.71,2022,3,High,Rural,2012,Yes,181.65
H01745,Asia,China,Wind,733.7,2022,3,Low,Rural,2019,Yes,168.73
H01085,Europe,Spain,Solar,336.45,2022,2,High,Rural,2013,No,489.73
H00927,Australia,New Zealand,Solar,880.87,2024,4,Middle,Urban,2020,No,483.96
H03050,Africa,Ghana,Solar,1311.18,2020,1,High,Rural,2018,No,88.96
H01118,Europe,Italy,Hydro,130.66,2021,4,Middle,Urban,2010,No,420.79
H00643,Asia,Indonesia,Solar,124.44,2020,6,High,Rural,2013,Yes,217.69
H04768,Europe,Italy,Wind,1377.88,2023,4,Low,Rural,2020,Yes,228.95
H00502,Africa,Ghana,Biomass,59.94,2020,8,Middle,Rural,2014,Yes,14.19
H04067,Africa,Nigeria,Geothermal,1185.31,2022,7,High,Urban,2014,Yes,25.91
H00334,North America,USA,Solar,496.13,2020,3,High,Urban,2011,Yes,305.75
H04685,Africa,Egypt,Wind,1313.73,2020,8,High,Rural,2014,No,38.77
H00487,South America,Colombia,Hydro,1212.39,2023,8,High,Rural,2023,No,349.67
H01963,South America,Argentina,Wind,632.76,2023,6,Low,Rural,2010,No,47.87
